product_id,field,state,value,reason,method,review_status,physical_pages,source_sha256
product:B30,widthIn,known,30,,derived,unreviewed,52,18424d5f3fc49f84d7a5095bc6d2a169a8d417a16e5d9ca1ee8fd7db1c2bc530
product:B30FD,depthIn,known,24,,text,unreviewed,51,18424d5f3fc49f84d7a5095bc6d2a169a8d417a16e5d9ca1ee8fd7db1c2bc530
product:B30FD,heightIn,known,34.5,,text,unreviewed,51,18424d5f3fc49f84d7a5095bc6d2a169a8d417a16e5d9ca1ee8fd7db1c2bc530
product:B30FD,manufacturerCategory,known,Base Cabinets,,text,unreviewed,51,18424d5f3fc49f84d7a5095bc6d2a169a8d417a16e5d9ca1ee8fd7db1c2bc530
product:B30FD,normalizedCategory,known,base_cabinet,,derived,unreviewed,51,18424d5f3fc49f84d7a5095bc6d2a169a8d417a16e5d9ca1ee8fd7db1c2bc530
product:B30FD,sku,known,B30FD,,text,unreviewed,51,18424d5f3fc49f84d7a5095bc6d2a169a8d417a16e5d9ca1ee8fd7db1c2bc530
product:B30FD,widthIn,known,30,,derived,unreviewed,51,18424d5f3fc49f84d7a5095bc6d2a169a8d417a16e5d9ca1ee8fd7db1c2bc530
product:B33,depthIn,known,24,,text,unreviewed,52,18424d5f3fc49f84d7a5095bc6d2a169a8d417a16e5d9ca1ee8fd7db1c2bc530
product:B33,heightIn,known,34.5,,text,unreviewed,52,18424d5f3fc49f84d7a5095bc6d2a169a8d417a16e5d9ca1ee8fd7db1c2bc530
product:B33,manufacturerCategory,known,Base Cabinets,,text,unreviewed,52,18424d5f3fc49f84d7a5095bc6d2a169a8d417a16e5d9ca1ee8fd7db1c2bc530
product:B33,normalizedCategory,known,base_cabinet,,derived,unreviewed,52,18424d5f3fc49f84d7a5095bc6d2a169a8d417a16e5d9ca1ee8fd7db1c2bc530
product:B33,sku,known,B33,,text,unreviewed,52,18424d5f3fc49f84d7a5095bc6d2a169a8d417a16e5d9ca1ee8fd7db1c2bc530
product:B33,widthIn,known,33,,derived,unreviewed,52,18424d5f3fc49f84d7a5095bc6d2a169a8d417a16e5d9ca1ee8fd7db1c2bc530
product:B33FD,depthIn,known,24,,text,unreviewed,51,18424d5f3fc49f84d7a5095bc6d2a169a8d417a16e5d9ca1ee8fd7db1c2bc530
